Tanggal,Jumlah Orang di Test,Orang Positif Harian,Orang Negatif Harian,Positivity Rate Kasus Baru Harian,Total Spesimen di Test,Positif,Negatif,Positivity Rate Spesimen Harian,
5/8/2022,16447,2356,14091,14.30%,18295,3964,14331,21.7%,
6/8/2022,13638,1824,11814,13.40%,15411,3397,12014,22.0%,
7/8/2022,13110,2300,10810,17.50%,14022,3186,10836,22.7%,
8/8/2022,12730,2298,10432,18.10%,15338,4026,11312,26.2%,
9/8/2022,14887,2224,12663,14.90%,18540,4635,13905,25.0%,
10/8/2022,15377,2218,13159,14.40%,17778,4230,13548,23.8%,
11/8/2022,16382,2858,13524,17.40%,17711,4154,13557,23.5%,
12/8/2022,15397,2287,13110,14.90%,17379,4061,13318,23.4%,
13/08/2022 ,13053,2109,10944,16.20%,14440,3336,11104,23.1%,
14/08/2022 ,10902,1902,9000,17.40%,12154,2939,9215,24.2%,
15/08/2022 ,16092,2462,13630,15.30%,17782,3591,14191,20.2%,
16/08/2022 ,16080,2404,13676,15.00%,17749,4041,13708,22.8%,
17/08/2022 ,13783,2060,11723,14.90%,15114,3349,11765,22.2%,
18/08/2022 ,12684,2217,10467,17.50%,13639,3154,10485,23.1%,
19/08/2022 ,13372,2324,11048,17.40%,14776,3685,11091,24.9%,
20/08/2022 ,11597,1897,9700,16.40%,12900,3176,9724,24.6%,
21/08/2022 ,9368,1546,7822,16.50%,10444,2592,7852,24.8%,
22/08/2022 ,11466,1470,9996,12.80%,13474,3149,10325,23.4%,
23/08/2022 ,14581,2217,12364,15.20%,16112,3649,12463,22.6%,
24/08/2022 ,14340,2483,11857,17.30%,15437,3473,11964,22.5%,
25/08/2022 ,12474,1888,10586,15.10%,13754,2743,11011,19.9%,
26/08/2022 ,12618,1912,10706,15.20%,13882,3048,10834,22.0%,
27/08/2022 ,10445,1489,8956,14.30%,11696,2560,9136,21.9%,
28/08/2022 ,7056,1216,5840,17.20%,7483,1577,5906,21.1%,
29/08/2022 ,10228,1717,8511,16.80%,11277,2625,8652,23.3%,
30/08/2022 ,12507,1931,10576,15.40%,13610,2972,10638,21.8%,
31/08/2022 ,11213,1702,9511,15.20%,12350,2770,9580,22.4%,
1/9/2022,10974,1500,9474,13.70%,11955,2373,9582,19.8%,
2/9/2022,10452,1506,8946,14.40%,11325,2316,9009,20.5%,
3/9/2022,9180,1257,7923,13.70%,10246,2222,8024,21.7%,
4/9/2022,6915,992,5923,14.30%,7859,1785,6074,22.7%,
5/9/2022,9885,1387,8498,14.00%,11021,2398,8623,21.8%,
6/9/2022,10879,1486,9393,13.70%,11955,2392,9563,20.0%,
7/9/2022,10111,1318,8793,13.00%,11050,2177,8873,19.7%,
8/9/2022,9264,1166,8098,12.60%,10037,1866,8171,18.6%,
9/9/2022,9086,1125,7961,12.40%,9952,1843,8109,18.5%,
10/9/2022,7791,855,6936,11.00%,8525,1509,7016,17.7%,
11/9/2022,5349,753,4596,14.10%,6038,1342,4696,22.2%,
12/9/2022,8236,1061,7175,12.90%,9012,1740,7272,19.3%,
13/09/2022 ,10376,1228,9148,11.80%,11328,1981,9347,17.5%,
14/09/2022 ,8785,1116,7669,12.70%,9498,1706,7792,18.0%,
15/09/2022 ,8391,1021,7370,12.20%,9161,1684,7477,18.4%,
16/09/2022 ,8258,893,7365,10.80%,8823,1348,7475,15.3%,
17/09/2022 ,7421,794,6627,10.70%,8201,1464,6737,17.9%,
18/09/2022 ,5119,626,4493,12.20%,5798,1081,4717,18.6%,
19/09/2022 ,7528,952,6576,12.60%,8104,1424,6680,17.6%,
20/09/2022 ,8463,974,7489,11.50%,10907,1488,9419,13.6%,
21/09/2022 ,7701,888,6813,11.50%,10712,1650,9062,15.4%,
22/09/2022 ,6154,712,5442,11.60%,7542,1122,6420,14.9%,
23/09/2022 ,5494,687,4807,12.50%,6929,1170,5759,16.9%,
24/09/2022 ,5042,580,4462,11.50%,7062,1062,6000,15.0%,
25/09/2022 ,5429,546,4883,10.10%,5456,974,4482,17.9%,
26/09/2022 ,7304,740,6564,10.10%,7307,1089,6218,14.9%,
27/09/2022 ,8538,695,7843,8.10%,8545,1152,7393,13.5%,
28/09/2022 ,8801,781,8020,8.90%,8893,1256,7637,14.1%,
29/09/2022 ,8641,734,7907,8.50%,8647,1138,7509,13.2%,
30/09/2022 ,7645,603,7042,7.90%,7748,1017,6731,13.1%,
1/10/2022,6495,551,5944,8.50%,6447,992,5455,15.4%,
2/10/2022,4755,384,4371,8.10%,4770,654,4116,13.7%,
3/10/2022,6725,668,6057,9.90%,6766,1019,5747,15.1%,
4/10/2022,7549,600,6949,7.90%,7589,999,6590,13.2%,
5/10/2022,8281,680,7601,8.20%,8282,990,7292,12.0%,
6/10/2022,7125,520,6605,7.30%,7141,809,6332,11.3%,
7/10/2022,5782,500,5282,8.60%,5744,733,5011,12.8%,
8/10/2022,6460,465,5995,7.20%,6534,843,5691,12.9%,
9/10/2022,4495,496,3999,11.00%,4544,752,3792,16.5%,
10/10/2022,6639,738,5901,11.10%,6648,924,5724,13.9%,
11/10/2022,8789,752,8037,8.60%,8622,1066,7556,12.4%,
12/10/2022,7741,708,7033,9.10%,7682,995,6687,13.0%,
13/10/2022 ,7670,612,7058,8.00%,7769,946,6823,12.2%,
14/10/2022 ,6597,577,6020,8.70%,6501,857,5644,13.2%,
15/10/2022 ,6649,518,6131,7.80%,6670,816,5854,12.2%,
16/10/2022 ,4932,448,4484,9.10%,4934,711,4223,14.4%,
17/10/2022 ,7026,697,6329,9.90%,7282,995,6287,13.7%,
18/10/2022 ,8237,891,7346,10.80%,8373,1164,7209,13.9%,
19/10/2022 ,7070,784,6286,11.10%,7081,1071,6010,15.1%,
20/10/2022 ,7402,773,6629,10.40%,7321,1105,6216,15.1%,
21/10/2022 ,6650,664,5986,10.00%,6669,926,5743,13.9%,
22/10/2022 ,5768,643,5125,11.10%,5757,964,4793,16.7%,
23/10/2022 ,4725,625,4100,13.20%,4570,766,3804,16.8%,
24/10/2022 ,6632,889,5743,13.40%,6654,1123,5531,16.9%,
25/10/2022 ,8023,1066,6957,13.30%,8051,1487,6564,18.5%,
26/10/2022 ,7380,1062,6318,14.40%,7600,1341,6259,17.6%,
27/10/2022 ,7092,1007,6085,14.20%,7138,1338,5800,18.7%,
28/10/2022 ,7468,1041,6427,13.90%,7545,1378,6167,18.3%,
29/10/2022 ,6876,1081,5795,15.70%,7633,1641,5992,21.5%,
30/10/2022 ,4518,822,3696,18.20%,4551,1039,3512,22.8%,
31/10/2022 ,7374,1559,5815,21.10%,7531,1824,5707,24.2%,
1/11/2022,9758,1781,7977,18.30%,9699,2262,7437,23.3%,
2/11/2022,8715,1823,6892,20.90%,8796,2171,6625,24.7%,
3/11/2022,9321,2036,7285,21.80%,9356,2569,6787,27.5%,
4/11/2022,9757,1859,7898,19.10%,9749,2346,7403,24.1%,
5/11/2022,8404,1542,6862,18.30%,8443,2200,6243,26.1%,
6/11/2022,6226,1345,4881,21.60%,7059,2008,5051,28.4%,
7/11/2022,8761,2254,6507,25.70%,8835,2720,6115,30.8%,
8/11/2022,11200,2557,8643,22.80%,11426,3399,8027,29.7%,
9/11/2022,10087,2396,7691,23.80%,10136,2823,7313,27.9%,
10/11/2022,10232,2583,7649,25.20%,10455,3189,7266,30.5%,
11/11/2022,11129,2511,8618,22.60%,11194,3452,7742,30.8%,
12/11/2022,10039,2261,7778,22.50%,10120,3310,6810,32.7%,
13/11/2022 ,7991,1771,6220,22.20%,8023,2429,5594,30.3%,
14/11/2022 ,10168,2932,7236,28.80%,10266,3333,6933,32.5%,
15/11/2022 ,14045,3668,10377,26.10%,14142,4850,9292,34.3%,
16/11/2022 ,13457,3474,9983,25.80%,13552,4704,8848,34.7%,
17/11/2022 ,11671,2798,8873,24.00%,11731,3765,7966,32.1%,
18/11/2022 ,11883,2628,9255,22.10%,11962,3610,8352,30.2%,
19/11/2022 ,10763,2373,8390,22.00%,10803,3451,7352,31.9%,
20/11/2022 ,8115,1789,6326,22.00%,8162,2672,5490,32.7%,
21/11/2022 ,10471,2844,7627,27.20%,10517,3682,6835,35.0%,
22/11/2022 ,13814,3018,10796,21.80%,13808,4390,9418,31.8%,
23/11/2022 ,13788,3018,10770,21.90%,13778,4338,9440,31.5%,
24/11/2022 ,11729,2550,9179,21.70%,11775,3600,8175,30.6%,
25/11/2022 ,10830,2235,8595,20.60%,10768,3282,7486,30.5%,
26/11/2022 ,10153,1844,8309,18.20%,10059,3277,6782,32.6%,
27/11/2022 ,7426,1296,6130,17.50%,7529,2102,5427,27.9%,
28/11/2022 ,9705,2020,7685,20.80%,9923,3022,6901,30.5%,
29/11/2022 ,9209,2355,6854,25.60%,12471,3599,8872,28.9%,
30/11/2022 ,8039,1957,6082,24.30%,10783,3014,7769,28.0%,
1/12/2022,9088,1644,7444,18.10%,9121,2643,6478,29.0%,
2/12/2022,9537,1441,8096,15.10%,9537,2414,7123,25.3%,
3/12/2022,7735,1056,6679,13.70%,7808,2148,5660,27.5%,
4/12/2022,5593,804,4789,14.40%,5641,1422,4219,25.2%,
5/12/2022,8608,1248,7360,14.50%,8734,1993,6741,22.8%,
6/12/2022,9639,1280,8359,13.30%,9599,2331,7268,24.3%,
7/12/2022,7999,1038,6961,13.00%,8055,1817,6238,22.6%,
8/12/2022,7102,818,6284,11.50%,7063,1523,5540,21.6%,
9/12/2022,7342,755,6587,10.30%,7334,1357,5977,18.5%,
10/12/2022,6478,603,5875,9.30%,6472,1156,5316,17.9%,
11/12/2022,4815,438,4377,9.10%,4620,850,3770,18.4%,
12/12/2022,6387,586,5801,9.20%,6420,1058,5362,16.5%,
13/12/2022 ,7597,706,6891,9.30%,7582,1186,6396,15.6%,
14/12/2022 ,6297,573,5724,9.10%,6390,1052,5338,16.5%,
15/12/2022 ,6010,485,5525,8.10%,6031,880,5151,14.6%,
16/12/2022 ,5265,394,4871,7.50%,5276,688,4588,13.0%,
17/12/2022 ,4656,293,4363,6.30%,4690,651,4039,13.9%,
18/12/2022 ,3350,284,3066,8.50%,3473,480,2993,13.8%,
19/12/2022 ,5111,317,4794,6.20%,5134,591,4543,11.5%,
20/12/2022 ,5986,379,5607,6.30%,6023,707,5316,11.7%,
21/12/2022 ,5053,303,4750,6.00%,4982,559,4423,11.2%,
22/12/2022 ,4616,280,4336,6.10%,4658,455,4203,9.8%,
23/12/2022 ,4181,254,3927,6.10%,4188,428,3760,10.2%,
24/12/2022 ,3781,212,3569,5.60%,3778,362,3416,9.6%,
25/12/2022 ,2515,137,2378,5.40%,2519,225,2294,8.9%,
26/12/2022 ,3713,185,3528,5.00%,3730,321,3409,8.6%,
27/12/2022 ,4352,230,4122,5.30%,4355,367,3988,8.4%,
28/12/2022 ,4037,189,3848,4.70%,4057,359,3698,8.8%,
29/12/2022 ,3511,181,3330,5.20%,3514,279,3235,7.9%,
30/12/2022 ,3705,156,3549,4.20%,3700,263,3437,7.1%,
31/12/2022 ,3107,130,2977,4.20%,3123,259,2864,8.3%,
1/1/2023,2136,69,2067,3.20%,2135,132,2003,6.2%,
2/1/2023,3549,192,3357,5.40%,3525,284,3241,8.1%,
3/1/2023,4768,210,4558,4.40%,4731,281,4450,5.9%,
4/1/2023,3904,183,3721,4.70%,3880,262,3618,6.8%,
5/1/2023,4039,188,3851,4.70%,4025,274,3751,6.8%,
6/1/2023,4276,151,4125,3.50%,4189,221,3968,5.3%,
7/1/2023,4007,125,3882,3.10%,3973,197,3776,5.0%,
8/1/2023,2957,81,2876,2.70%,2957,143,2814,4.8%,
9/1/2023,4162,124,4038,3.00%,4145,186,3959,4.5%,
10/1/2023,3961,146,3815,3.70%,3986,231,3755,5.8%,
11/1/2023,4088,159,3929,3.90%,4116,222,3894,5.4%,
12/1/2023,3649,120,3529,3.30%,3696,194,3502,5.2%,
13/01/2023 ,4091,172,3919,4.20%,4105,160,3945,3.9%,
14/01/2023 ,3437,84,3353,2.40%,3537,145,3392,4.1%,
15/01/2023 ,2534,70,2464,2.80%,2542,123,2419,4.8%,
16/01/2023 ,3205,111,3094,3.50%,3231,187,3044,5.8%,
17/01/2023 ,4261,118,4143,2.80%,4285,186,4099,4.3%,
18/01/2023 ,3390,84,3306,2.50%,3423,142,3281,4.1%,
19/01/2023 ,3874,92,3782,2.40%,3885,130,3755,3.3%,
20/01/2023 ,3325,81,3244,2.40%,3333,135,3198,4.1%,
21/01/2023 ,2678,84,2594,3.10%,2691,127,2564,4.7%,
22/01/2023 ,1497,45,1452,3.00%,1506,72,1434,4.8%,
23/01/2023 ,1845,62,1783,3.40%,1837,88,1749,4.8%,
24/01/2023 ,2648,87,2561,3.30%,2654,132,2522,5.0%,
25/01/2023 ,3093,97,2996,3.10%,3110,122,2988,3.9%,
26/01/2023 ,3264,64,3200,2.00%,3269,115,3154,3.5%,
27/01/2023 ,3707,70,3637,1.90%,3718,122,3596,3.3%,
28/01/2023 ,2606,63,2543,2.40%,2624,110,2514,4.2%,
29/01/2023 ,1917,68,1849,3.50%,1928,88,1840,4.6%,
30/01/2023 ,3355,97,3258,2.90%,3364,118,3246,3.5%,
31/01/2023 ,3727,80,3647,2.10%,3808,147,3661,3.9%,
1/2/2023,3580,101,3479,2.80%,3632,138,3494,3.8%,
2/2/2023,3160,62,3098,2.00%,3222,109,3113,3.4%,
3/2/2023,3401,61,3340,1.80%,3469,116,3353,3.3%,
4/2/2023,2093,51,2042,2.40%,2153,98,2055,4.6%,
5/2/2023,1968,69,1899,3.50%,2038,131,1907,6.4%,
6/2/2023,3152,200,2952,6.30%,3128,147,2981,4.7%,
7/2/2023,3581,90,3491,2.50%,3642,134,3508,3.7%,
8/2/2023,3237,88,3149,2.70%,3308,144,3164,4.4%,
9/2/2023,2590,104,2486,4.00%,2635,138,2497,5.2%,
10/2/2023,2812,92,2720,3.30%,2857,121,2736,4.2%,
11/2/2023,2718,76,2642,2.80%,2761,106,2655,3.8%,
12/2/2023,1863,73,1790,3.90%,1901,96,1805,5.0%,
13/02/2023 ,2846,89,2757,3.10%,2908,121,2787,4.2%,
14/02/2023 ,3491,101,3390,2.90%,3543,131,3412,3.7%,
15/02/2023 ,3307,109,3198,3.30%,3376,148,3228,4.4%,
16/02/2023 ,2940,113,2827,3.80%,2977,140,2837,4.7%,
17/02/2023,2777,87,2690,3.10%,2818,118,2700,4.2%,
18/02/2023,2060,94,1966,4.60%,2060,94,1966,4.6%,
19/02/2023,1858,48,1810,2.60%,1918,85,1833,4.4%,
20/02/2023,2894,97,2797,3.40%,2961,141,2820,4.8%,
21/02/2023,3477,92,3385,2.60%,3526,124,3402,3.5%,
22/02/2023,2368,74,2294,3.10%,2401,102,2299,4.2%,
23/02/2023,2685,97,2588,3.60%,2745,137,2608,5.0%,
24/02/2023,2085,78,2007,3.70%,2118,102,2016,4.8%,
25/02/2023,2062,76,1986,3.70%,2116,106,2010,5.0%,
26/02/2023,1561,49,1512,3.10%,1594,72,1522,4.5%,
27/02/2023,2362,101,2261,4.30%,2434,145,2289,6.0%,
28/02/2023,2608,94,2514,3.60%,2654,119,2535,4.5%,
3/1/2023,3286,106,3180,3.20%,3337,141,3196,4.2%,
2/3/2023,2622,95,2527,3.60%,2675,140,2535,5.2%,
3/3/2023,2834,100,2734,3.50%,2880,139,2741,4.8%,
4/3/2023,2143,78,2065,3.60%,2192,123,2069,5.6%,
5/3/2023,1446,53,1393,3.70%,1486,86,1400,5.8%,
6/3/2023,2466,127,2339,5.20%,2513,150,2363,6.0%,
7/3/2023,3055,152,2903,5.00%,3107,183,2924,5.9%,
8/3/2023,2733,142,2591,5.20%,2779,181,2598,6.5%,
9/3/2023,2592,154,2438,5.90%,2630,177,2453,6.7%,
10/3/2023,2542,124,2418,4.90%,2592,166,2426,6.4%,
11/3/2023,2234,115,2119,5.10%,2271,139,2132,6.1%,
12/3/2023,1385,112,1273,8.10%,1424,139,1285,9.8%,
13/03/2023 ,2251,135,2116,6.00%,2303,178,2125,7.7%,
14/03/2023 ,2850,165,2685,5.80%,2905,216,2689,7.4%,
15/03/2023 ,2993,174,2819,5.80%,3050,220,2830,7.2%,
16/03/2023 ,2367,152,2215,6.40%,2444,215,2229,8.8%,
17/03/2023 ,2761,157,2604,5.70%,2829,200,2629,7.1%,
18/03/2023 ,1824,128,1696,7.00%,1895,191,1704,10.1%,
19/03/2023 ,1371,100,1271,7.30%,1399,122,1277,8.7%,
20/03/2023 ,2286,202,2084,8.80%,2335,243,2092,10.4%,
21/03/2023 ,2672,224,2448,8.40%,2754,292,2462,10.6%,
22/03/2023 ,1623,150,1473,9.20%,1663,186,1477,11.2%,
23/03/2023 ,1640,145,1495,8.80%,1695,186,1509,11.0%,
24/03/2023 ,2014,173,1841,8.60%,2087,231,1856,11.1%,
25/03/2023 ,1917,205,1712,10.70%,2041,319,1722,15.6%,
26/03/2023 ,1209,137,1072,11.30%,1242,161,1081,13.0%,
27/03/2023 ,2390,234,2156,9.80%,2451,289,2162,11.8%,
28/03/2023 ,1951,240,1711,12.30%,2016,300,1716,14.9%,
29/03/2023 ,2541,240,2301,9.40%,2653,344,2309,13.0%,
30/03/2023 ,1963,196,1767,10.00%,2011,238,1773,11.8%,
31/03/2023 ,2566,219,2347,8.50%,2659,305,2354,11.5%,
1/4/2023,1749,202,1547,11.50%,1797,238,1559,13.2%,
2/4/2023,1048,136,912,13.00%,1123,205,918,18.3%,
3/4/2023,1789,235,1554,13.10%,1821,256,1565,14.1%,
4/4/2023,2590,280,2310,10.80%,2732,406,2326,14.9%,
5/4/2023,2413,278,2135,11.50%,2522,372,2150,14.8%,
6/4/2023,2431,295,2136,12.10%,2498,354,2144,14.2%,
7/4/2023,1373,190,1183,13.80%,1425,240,1185,16.8%,
8/4/2023,1111,205,906,18.50%,1187,276,911,23.3%,
9/4/2023,1375,222,1153,16.10%,1452,287,1165,19.8%,
10/4/2023,2158,373,1785,17.30%,2190,397,1793,18.1%,
11/4/2023,2653,475,2178,17.90%,2833,625,2208,22.1%,
12/4/2023,2505,441,2064,17.60%,2599,515,2084,19.8%,
13/04/2023 ,2444,486,1958,19.90%,2487,515,1972,20.7%,
14/04/2023 ,2155,395,1760,18.30%,2262,494,1768,21.8%,
15/04/2023 ,2632,412,2220,15.70%,2777,527,2250,19.0%,
16/04/2023 ,1424,294,1130,20.60%,1497,363,1134,24.2%,
17/04/2023 ,2221,543,1678,24.40%,2288,600,1688,26.2%,
18/04/2023 ,2526,523,2003,20.70%,2649,635,2014,24.0%,
19/04/2023 ,2206,510,1696,23.10%,2346,641,1705,27.3%,
20/04/2023 ,1303,384,919,29.50%,1400,472,928,33.7%,
21/04/2023 ,1007,277,730,27.50%,1114,379,735,34.0%,
22/04/2023 ,460,131,329,28.50%,501,169,332,33.7%,
23/04/2023 ,733,189,544,25.80%,765,215,550,28.1%,
24/04/2023 ,1365,397,968,29.10%,1557,570,987,36.6%,
25/04/2023 ,1389,363,1026,26.10%,1502,470,1032,31.3%,
26/04/2023 ,2193,543,1650,24.80%,2309,650,1659,28.2%,
27/04/2023 ,2643,656,1987,24.80%,2750,750,2000,27.3%,
28/04/2023 ,3074,704,2370,22.90%,3263,881,2382,27.0%,
29/04/2023 ,2667,630,2037,23.60%,2805,760,2045,27.1%,
30/04/2023 ,1276,268,1008,21.00%,1328,314,1014,23.6%,
1/5/2023,1616,412,1204,25.50%,1670,462,1208,27.7%,
2/5/2023,3143,811,2332,25.80%,3352,999,2353,29.8%,
3/5/2023,3664,785,2879,21.40%,3949,1055,2894,26.7%,
4/5/2023,3165,697,2468,22.00%,3417,935,2482,27.4%,
5/5/2023,3353,586,2767,17.50%,3564,782,2782,21.9%,
6/5/2023,2684,468,2216,17.40%,2962,735,2227,24.8%,
7/5/2023,1806,335,1471,18.50%,1914,440,1474,23.0%,
8/5/2023,2258,506,1752,22.40%,2388,623,1765,26.1%,
9/5/2023,3479,618,2861,17.80%,3761,879,2882,23.4%,
10/5/2023,2560,483,2077,18.90%,2741,656,2085,23.9%,
11/5/2023,2773,470,2303,16.90%,2948,634,2314,21.5%,
12/5/2023,2422,404,2018,16.70%,2628,605,2023,23.0%,
13/05/2023 ,2316,317,1999,13.70%,2475,463,2012,18.7%,
14/05/2023 ,1606,233,1373,14.50%,1735,356,1379,20.5%,
15/05/2023 ,668,131,537,19.60%,730,190,540,26.0%,
16/05/2023 ,3150,271,2879,8.60%,3674,775,2899,21.1%,
17/05/2023 ,2246,183,2063,8.10%,2544,477,2067,18.8%,
18/05/2023 ,1361,119,1242,8.70%,1503,258,1245,17.2%,
19/05/2023 ,1880,169,1711,9.00%,2078,355,1723,17.1%,
20/05/2023 ,1954,120,1834,6.10%,2170,326,1844,15.0%,
21/05/2023 ,890,81,809,9.10%,1026,210,816,20.5%,
22/05/2023 ,1712,191,1521,11.20%,1919,381,1538,19.9%,
23/05/2023 ,2511,135,2376,5.40%,2751,368,2383,13.4%,
24/05/2023 ,2152,131,2021,6.10%,2329,303,2026,13.0%,
25/05/2023 ,1700,123,1577,7.20%,1830,243,1587,13.3%,
26/05/2023 ,2155,106,2049,4.90%,2333,275,2058,11.8%,
27/05/2023 ,1794,70,1724,3.90%,1969,243,1726,12.3%,
28/05/2023 ,820,71,749,8.70%,858,106,752,12.4%,
29/05/2023 ,1452,125,1327,8.60%,1570,228,1342,14.5%,
30/05/2023 ,2204,108,2096,4.90%,2389,285,2104,11.9%,
31/05/2023 ,1679,85,1594,5.10%,1764,168,1596,9.5%,
1/6/2023,1382,47,1335,3.40%,1496,156,1340,10.4%,
2/6/2023,1274,56,1218,4.40%,1350,123,1227,9.1%,
3/6/2023,921,48,873,5.20%,997,119,878,11.9%,
4/6/2023,816,53,763,6.50%,854,86,768,10.1%,
5/6/2023,1501,79,1422,5.30%,1600,172,1428,10.8%,
6/6/2023,1894,73,1821,3.90%,1973,144,1829,7.3%,
7/6/2023,1501,58,1443,3.90%,1576,128,1448,8.1%,
8/6/2023,1512,41,1471,2.70%,1588,105,1483,6.6%,
9/6/2023,1403,50,1353,3.60%,1464,105,1359,7.2%,
10/6/2023,1488,35,1453,2.40%,1564,100,1464,6.4%,
11/6/2023,588,32,556,5.40%,620,63,557,10.2%,
12/6/2023,1234,38,1196,3.10%,1286,84,1202,6.5%,
13/06/2023 ,1503,48,1455,3.20%,1553,97,1456,6.2%,
14/06/2023 ,1429,39,1390,2.70%,1481,86,1395,5.8%,
15/06/2023 ,1243,33,1210,2.70%,1275,60,1215,4.7%,
16/06/2023 ,1323,30,1293,2.30%,1374,76,1298,5.5%,
17/06/2023 ,1050,17,1033,1.60%,1094,56,1038,5.1%,
18/06/2023 ,712,13,699,1.80%,752,38,714,5.1%,
19/06/2023 ,1119,37,1082,3.30%,1139,50,1089,4.4%,
20/06/2023 ,1451,24,1427,1.70%,1493,62,1431,4.2%,
21/06/2023 ,1347,26,1321,1.90%,1384,57,1327,4.1%,
22/06/2023 ,1209,30,1179,2.50%,1234,55,1179,4.5%,
23/06/2023 ,1066,20,1046,1.90%,1104,51,1053,4.6%,
24/06/2023 ,1261,18,1243,1.40%,1297,51,1246,3.9%,
25/06/2023 ,437,10,427,2.30%,445,14,431,3.1%,
26/06/2023 ,842,19,823,2.30%,852,27,825,3.2%,
27/06/2023 ,1126,11,1115,1.00%,1168,46,1122,3.9%,
28/06/2023 ,749,8,741,1.10%,765,19,746,2.5%,
29/06/2023 ,384,11,373,2.90%,394,12,382,3.0%,
