Tanggal,Reaktif,Non-Reaktif,Total,Reaktif Positivity Rate
2/9/2022,41823,692119,733942,5.70%
3/9/2022,41823,692119,733942,5.70%
4/9/2022,41823,692119,733942,5.70%
5/9/2022,41823,692119,733942,5.70%
6/9/2022,41823,692119,733942,5.70%
7/9/2022,41823,692119,733942,5.70%
8/9/2022,41823,692119,733942,5.70%
9/9/2022,41823,692119,733942,5.70%
10/9/2022,41823,692120,733943,5.70%
11/9/2022,41823,692120,733943,5.70%
12/9/2022,41823,692120,733943,5.70%
13/09/2022 ,41823,692120,733943,5.70%
14/09/2022 ,41823,692120,733943,5.70%
15/09/2022 ,41823,692120,733943,5.70%
16/09/2022 ,41823,692120,733943,5.70%
17/09/2022 ,41823,692120,733943,5.70%
18/09/2022 ,41823,692120,733943,5.70%
19/09/2022 ,41823,692120,733943,5.70%
20/09/2022 ,41823,692120,733943,5.70%
21/09/2022 ,41823,692120,733943,5.70%
22/09/2022 ,41823,692120,733943,5.70%
23/09/2022 ,41823,692120,733943,5.70%
24/09/2022 ,41823,692120,733943,5.70%
25/09/2022 ,41823,692120,733943,5.70%
26/09/2022 ,41823,692120,733943,5.70%
27/09/2022 ,41823,692120,733943,5.70%
28/09/2022 ,41823,692120,733943,5.70%
29/09/2022 ,41823,692120,733943,5.70%
30/09/2022 ,41823,692120,733943,5.70%
1/10/2022,41823,692120,733943,5.70%
2/10/2022,41823,692120,733943,5.70%
3/10/2022,41823,692120,733943,5.70%
4/10/2022,41823,692120,733943,5.70%
5/10/2022,41823,692120,733943,5.70%
6/10/2022,41823,692120,733943,5.70%
7/10/2022,41823,692120,733943,5.70%
8/10/2022,41823,692120,733943,5.70%
9/10/2022,41823,692120,733943,5.70%
10/10/2022,41823,692120,733943,5.70%
11/10/2022,41823,692120,733943,5.70%
12/10/2022,41823,692120,733943,5.70%
13/10/2022 ,41823,692120,733943,5.70%
14/10/2022 ,41823,692120,733943,5.70%
15/10/2022 ,41823,692121,733944,5.70%
16/10/2022 ,41823,692121,733944,5.70%
17/10/2022 ,41823,692121,733944,5.70%
18/10/2022 ,41823,692121,733944,5.70%
19/10/2022 ,41823,692121,733944,5.70%
20/10/2022 ,41823,692121,733944,5.70%
21/10/2022 ,41823,692121,733944,5.70%
22/10/2022 ,41823,692121,733944,5.70%
23/10/2022 ,41823,692121,733944,5.70%
24/10/2022 ,41823,692121,733944,5.70%
25/10/2022 ,41823,692121,733944,5.70%
26/10/2022 ,41823,692121,733944,5.70%
27/10/2022 ,41823,692121,733944,5.70%
28/10/2022 ,41823,692121,733944,5.70%
29/10/2022 ,41823,692121,733944,5.70%
30/10/2022 ,41823,692121,733944,5.70%
31/10/2022 ,41823,692121,733944,5.70%
1/11/2022,41823,692121,733944,5.70%
2/11/2022,41823,692121,733944,5.70%
3/11/2022,41823,692121,733944,5.70%
4/11/2022,41823,692121,733944,5.70%
5/11/2022,41823,692121,733944,5.70%
6/11/2022,41823,692121,733944,5.70%
7/11/2022,41823,692121,733944,5.70%
8/11/2022,41823,692121,733944,5.70%
9/11/2022,41823,692121,733944,5.70%
10/11/2022,41823,692121,733944,5.70%
11/11/2022,41823,692121,733944,5.70%
12/11/2022,41823,692121,733944,5.70%
13/11/2022 ,41823,692121,733944,5.70%
14/11/2022 ,41823,692121,733944,5.70%
15/11/2022 ,41823,692121,733944,5.70%
16/11/2022 ,41823,692121,733944,5.70%
17/11/2022 ,41823,692121,733944,5.70%
18/11/2022 ,41823,692122,733945,5.70%
19/11/2022 ,41823,692122,733945,5.70%
20/11/2022 ,41823,692122,733945,5.70%
21/11/2022 ,41823,692122,733945,5.70%
22/11/2022 ,41823,692122,733945,5.70%
23/11/2022 ,41823,692122,733945,5.70%
24/11/2022 ,41823,692122,733945,5.70%
25/11/2022 ,41823,692122,733945,5.70%
26/11/2022 ,41823,692122,733945,5.70%
27/11/2022 ,41823,692122,733945,5.70%
28/11/2022 ,41823,692122,733945,5.70%
29/11/2022 ,41823,692122,733945,5.70%
30/11/2022 ,41823,692122,733945,5.70%
1/12/2022,41823,692122,733945,5.70%
2/12/2022,41823,692122,733945,5.70%
3/12/2022,41823,692122,733945,5.70%
4/12/2022,41823,692122,733945,5.70%
5/12/2022,41823,692122,733945,5.70%
6/12/2022,41823,692122,733945,5.70%
7/12/2022,41823,692122,733945,5.70%
8/12/2022,41823,692122,733945,5.70%
9/12/2022,41823,692122,733945,5.70%
10/12/2022,41823,692122,733945,5.70%
11/12/2022,41823,692122,733945,5.70%
12/12/2022,41823,692122,733945,5.70%
13/12/2022 ,41823,692122,733945,5.70%
14/12/2022 ,41823,692122,733945,5.70%
15/12/2022 ,41823,692122,733945,5.70%
16/12/2022 ,41823,692122,733945,5.70%
17/12/2022 ,41823,692122,733945,5.70%
18/12/2022 ,41823,692122,733945,5.70%
19/12/2022 ,41823,692122,733945,5.70%
20/12/2022 ,41823,692122,733945,5.70%
21/12/2022 ,41823,692122,733945,5.70%
22/12/2022 ,41823,692122,733945,5.70%
23/12/2022 ,41823,692122,733945,5.70%
24/12/2022 ,41823,692122,733945,5.70%
25/12/2022 ,41823,692122,733945,5.70%
26/12/2022 ,41823,692122,733945,5.70%
27/12/2022 ,41823,692122,733945,5.70%
28/12/2022 ,41823,692122,733945,5.70%
29/12/2022 ,41823,692122,733945,5.70%
30/12/2022 ,41824,692123,733947,5.70%
31/12/2022 ,41824,692123,733947,5.70%
1/1/2023,41824,692123,733947,5.70%
2/1/2023,41824,692123,733947,5.70%
3/1/2023,41824,692123,733947,5.70%
4/1/2023,41824,692123,733947,5.70%
5/1/2023,41824,692123,733947,5.70%
6/1/2023,41824,692123,733947,5.70%
7/1/2023,41824,692123,733947,5.70%
8/1/2023,41824,692123,733947,5.70%
9/1/2023,41824,692123,733947,5.70%
10/1/2023,41824,692123,733947,5.70%
11/1/2023,41824,692123,733947,5.70%
12/1/2023,41824,692123,733947,5.70%
13/01/2023 ,41824,692123,733947,5.70%
14/01/2023 ,41824,692123,733947,5.70%
15/01/2023 ,41824,692123,733947,5.70%
16/01/2023 ,41824,692123,733947,5.70%
17/01/2023 ,41824,692123,733947,5.70%
18/01/2023 ,41824,692123,733947,5.70%
19/01/2023 ,41824,692123,733947,5.70%
20/01/2023 ,41824,692123,733947,5.70%
21/01/2023 ,41824,692123,733947,5.70%
22/01/2023 ,41824,692123,733947,5.70%
23/01/2023 ,41824,692123,733947,5.70%
24/01/2023 ,41824,692123,733947,5.70%
25/01/2023 ,41824,692123,733947,5.70%
26/01/2023 ,41824,692123,733947,5.70%
27/01/2023 ,41824,692123,733947,5.70%
28/01/2023 ,41824,692123,733947,5.70%
29/01/2023 ,41824,692123,733947,5.70%
30/01/2023 ,41824,692123,733947,5.70%
31/01/2023 ,41824,692123,733947,5.70%
1/2/2023,41824,692123,733947,5.70%
2/2/2023,41824,692123,733947,5.70%
3/2/2023,41824,692123,733947,5.70%
4/2/2023,41824,692123,733947,5.70%
5/2/2023,41824,692123,733947,5.70%
6/2/2023,41824,692123,733947,5.70%
7/2/2023,41824,692123,733947,5.70%
8/2/2023,41824,692123,733947,5.70%
9/2/2023,41824,692123,733947,5.70%
10/2/2023,41824,692123,733947,5.70%
11/2/2023,41824,692123,733947,5.70%
12/2/2023,41824,692123,733947,5.70%
13/02/2023 ,41824,692123,733947,5.70%
14/02/2023 ,41824,692123,733947,5.70%
15/02/2023 ,41824,692123,733947,5.70%
16/02/2023 ,41824,692123,733947,5.70%
17/02/2023 ,41824,692123,733947,5.70%
18/02/2023 ,41824,692123,733947,5.70%
19/02/2023 ,41824,692123,733947,5.70%
20/02/2023 ,41824,692123,733947,5.70%
21/02/2023 ,41824,692123,733947,5.70%
22/02/2023 ,41824,692123,733947,5.70%
23/02/2023 ,41824,692123,733947,5.70%
24/02/2023 ,41824,692123,733947,5.70%
25/02/2023 ,41824,692123,733947,5.70%
26/02/2023 ,41824,692123,733947,5.70%
27/02/2023 ,41824,692123,733947,5.70%
28/02/2023 ,41824,692123,733947,5.70%
1/3/2023,41824,692123,733947,5.70%
2/3/2023,41824,692123,733947,5.70%
3/3/2023,41824,692123,733947,5.70%
4/3/2023,41824,692123,733947,5.70%
5/3/2023,41824,692123,733947,5.70%
6/3/2023,41824,692123,733947,5.70%
7/3/2023,41824,692123,733947,5.70%
8/3/2023,41824,692123,733947,5.70%
9/3/2023,41824,692123,733947,5.70%
10/3/2023,41824,692123,733947,5.70%
11/3/2023,41824,692123,733947,5.70%
12/3/2023,41824,692123,733947,5.70%
13/03/2023 ,41824,692123,733947,5.70%
14/03/2023 ,41824,692123,733947,5.70%
15/03/2023 ,41824,692123,733947,5.70%
16/03/2023 ,41824,692123,733947,5.70%
17/03/2023 ,41824,692123,733947,5.70%
18/03/2023 ,41824,692123,733947,5.70%
19/03/2023 ,41824,692123,733947,5.70%
20/03/2023 ,41824,692123,733947,5.70%
21/03/2023 ,41824,692123,733947,5.70%
22/03/2023 ,41824,692123,733947,5.70%
23/03/2023 ,41824,692123,733947,5.70%
24/03/2023 ,41824,692123,733947,5.70%
25/03/2023 ,41824,692123,733947,5.70%
26/03/2023 ,41824,692123,733947,5.70%
27/03/2023 ,41824,692123,733947,5.70%
28/03/2023 ,41824,692123,733947,5.70%
29/03/2023 ,41824,692123,733947,5.70%
30/03/2023 ,41824,692123,733947,5.70%
31/03/2023 ,41824,692123,733947,5.70%
1/4/2023,41824,692123,733947,5.70%
2/4/2023,41824,692123,733947,5.70%
3/4/2023,41824,692123,733947,5.70%
4/4/2023,41824,692123,733947,5.70%
5/4/2023,41824,692123,733947,5.70%
6/4/2023,41824,692123,733947,5.70%
7/4/2023,41824,692123,733947,5.70%
8/4/2023,41824,692123,733947,5.70%
9/4/2023,41824,692123,733947,5.70%
10/4/2023,41824,692123,733947,5.70%
11/4/2023,41824,692123,733947,5.70%
12/4/2023,41824,692123,733947,5.70%
13/04/2023 ,41824,692123,733947,5.70%
14/04/2023 ,41824,692123,733947,5.70%
15/04/2023 ,41824,692123,733947,5.70%
16/04/2023 ,41824,692123,733947,5.70%
17/04/2023 ,41824,692123,733947,5.70%
18/04/2023 ,41824,692123,733947,5.70%
19/04/2023 ,41824,692123,733947,5.70%
20/04/2023 ,41824,692123,733947,5.70%
21/04/2023 ,41824,692123,733947,5.70%
22/04/2023 ,41824,692123,733947,5.70%
23/04/2023 ,41824,692123,733947,5.70%
24/04/2023 ,41824,692123,733947,5.70%
25/04/2023 ,41824,692123,733947,5.70%
26/04/2023 ,41824,692123,733947,5.70%
27/04/2023 ,41824,692123,733947,5.70%
28/04/2023 ,41824,692123,733947,5.70%
29/04/2023 ,41824,692123,733947,5.70%
30/04/2023 ,41824,692123,733947,5.70%
1/5/2023,41824,692123,733947,5.70%
2/5/2023,41824,692123,733947,5.70%
3/5/2023,41824,692123,733947,5.70%
4/5/2023,41824,692123,733947,5.70%
5/5/2023,41824,692123,733947,5.70%
6/5/2023,41824,692123,733947,5.70%
7/5/2023,41824,692123,733947,5.70%
8/5/2023,41824,692123,733947,5.70%
9/5/2023,41824,692123,733947,5.70%
10/5/2023,41824,692123,733947,5.70%
11/5/2023,41824,692123,733947,5.70%
12/5/2023,41824,692123,733947,5.70%
13/05/2023 ,41824,692123,733947,5.70%
14/05/2023 ,41824,692123,733947,5.70%
15/05/2023 ,41824,692123,733947,5.70%
16/05/2023 ,41824,692123,733947,5.70%
17/05/2023 ,41824,692123,733947,5.70%
18/05/2023 ,41824,692123,733947,5.70%
19/05/2023 ,41824,692123,733947,5.70%
20/05/2023 ,41824,692123,733947,5.70%
21/05/2023 ,41824,692123,733947,5.70%
22/05/2023 ,41824,692123,733947,5.70%
23/05/2023 ,41824,692123,733947,5.70%
24/05/2023 ,41824,692123,733947,5.70%
25/05/2023 ,41824,692123,733947,5.70%
26/05/2023 ,41824,692123,733947,5.70%
27/05/2023 ,41824,692123,733947,5.70%
28/05/2023 ,41824,692123,733947,5.70%
29/05/2023 ,41824,692123,733947,5.70%
30/05/2023 ,41824,692123,733947,5.70%
31/05/2023 ,41824,692123,733947,5.70%
1/6/2023,41824,692123,733947,5.70%
2/6/2023,41824,692123,733947,5.70%
3/6/2023,41824,692123,733947,5.70%
4/6/2023,41824,692123,733947,5.70%
5/6/2023,41824,692123,733947,5.70%
6/6/2023,41824,692123,733947,5.70%
7/6/2023,41824,692123,733947,5.70%
8/6/2023,41824,692123,733947,5.70%
9/6/2023,41824,692123,733947,5.70%
10/6/2023,41824,692123,733947,5.70%
11/6/2023,41824,692123,733947,5.70%
12/6/2023,41824,692123,733947,5.70%
13/06/2023 ,41824,692123,733947,5.70%
14/06/2023 ,41824,692123,733947,5.70%
15/06/2023 ,41824,692123,733947,5.70%
16/06/2023 ,41824,692123,733947,5.70%
17/06/2023 ,41824,692123,733947,5.70%
18/06/2023 ,41824,692123,733947,5.70%
19/06/2023 ,41824,692123,733947,5.70%
20/06/2023 ,41824,692123,733947,5.70%
21/06/2023 ,41824,692123,733947,5.70%
22/06/2023 ,41824,692123,733947,5.70%
23/06/2023 ,41824,692123,733947,5.70%
24/06/2023 ,41824,692123,733947,5.70%
25/06/2023 ,41824,692123,733947,5.70%
26/06/2023 ,41824,692123,733947,5.70%
27/06/2023 ,41824,692123,733947,5.70%
28/06/2023 ,41824,692123,733947,5.70%
29/06/2023 ,41824,692123,733947,5.70%
